image_path,prompt,prediction
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG134.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG509.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG404.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG063.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG408.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG186.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG223.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG216.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG051.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG430.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG165.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG266.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG176.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG289.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG333.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG313.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG329.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG213.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG490.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast extremely density,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG409.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG250.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG187.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG107.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG480.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast heterogeneously density,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG356.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG225.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG399.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG302.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG397.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG237.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG168.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG235.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG403.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG109.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG301.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG137.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG179.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG043.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG493.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast extremely density,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG052.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG090.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast heterogeneously density,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG160.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG411.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG294.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG084.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG275.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG506.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG475.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,There are no masses identified.
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG088.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG393.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG314.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG281.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG023.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG257.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG371.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG148.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG175.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG070.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG391.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG285.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG288.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG127.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG053.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,There is a large area of architectural distortion in the upper outer quadrant of the right breast.  A coarse calcification is present centrally.
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG215.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG138.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG451.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG335.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG065.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG315.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG048.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG256.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG414.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG308.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG050.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG177.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG380.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG099.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG027.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG212.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG312.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG424.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG440.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG344.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG097.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG482.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG276.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG206.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG037.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG337.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG358.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG465.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"There is a small density in the upper outer quadrant of the right breast, which was not seen in the initial read."
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG283.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG449.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast extremely density,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG369.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG345.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG214.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG163.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG098.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG481.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG460.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG073.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG350.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG307.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG218.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast heterogeneously density,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG429.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG422.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG008.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG331.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG384.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG347.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG464.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG443.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG420.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG418.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG259.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG249.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG318.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
